rawword,sora,aya
أبدا,18,20
أحدا,18,22
أحدا,18,26
أبدا,18,35
أحدا,18,38
أحدا,18,42
أملا,18,46
أحدا,18,47
أحدا,18,49
أبدا,18,57
موئلا,18,58
أمرا,18,69
إمرا,18,71
أجرا,18,77
أعمالا,18,103
أحدا,18,110
شيئا,19,9
إنسيا,19,26
يؤمنون,19,39
شيئا,19,42
شيئا,19,60
مأتيا,19,61
شيئا,19,67
ورئيا,19,74
أزا,19,83
إدا,19,89
وأخفى,20,7
أخرى,20,18
الأولى,20,21
أخرى,20,22
أمري,20,26
أهلي,20,29
أخي,20,30
أزري,20,31
أمري,20,32
أخرى,20,37
وأرى,20,46
الأولى,20,51
أخرى,20,55
وأبى,20,56
أتى,20,60
ألقى,20,65
الأعلى,20,68
أتى,20,69
وأبقى,20,71
وأبقى,20,73
أمري,20,90
أمري,20,93
أمتا,20,107
أبى,20,116
أعمى,20,124
وأبقى,20,127
وأبقى,20,131
الأولى,20,133
الأولون,21,5
يؤمنون,21,6
آخرين,21,11
تسألون,21,13
يسألون,21,23
يؤمنون,21,30
يستهزئون,21,41
إبراهيم,21,60
إبراهيم,21,62
إبراهيم,21,69
الأخسرين,21,70
أجمعين,21,77
المؤمنين,21,88
يشاء,22,18
أليم,22,25
الأمور,22,41
الأمور,22,76
المؤمنون,23,1
تأكلون,23,19
للآكلين,23,20
تأكلون,23,21
الأولين,23,24
آخرين,23,31
بمؤمنين,23,38
آخرين,23,42
يستأخرون,23,43
يؤمنون,23,44
يؤمنون,23,58
يجأرون,23,64
الأولين,23,68
الأولون,23,81
الأولين,23,83
يتساءلون,23,101
الفائزون,23,111
المؤمنين,24,2
المؤمنين,24,3
مؤمنين,24,17
والآصال,24,36
والأبصار,24,37
بالأبصار,24,43
الأبصار,24,44
بالمؤمنين,24,47
الفائزون,24,52
أليم,24,63
وأصيلا,25,5
مسئولا,25,16
أليما,25,37
أثاما,25,68
إماما,25,74
مؤمنين,26,3
يستهزئون,26,6
مؤمنين,26,8
إسرائيل,26,17
إسرائيل,26,22
الأولين,26,26
تأمرون,26,35
يأفكون,26,45
أجمعين,26,49
المؤمنين,26,51
لغائظون,26,55
إسرائيل,26,59
الآخرين,26,64
أجمعين,26,65
الآخرين,26,66
مؤمنين,26,67
إبراهيم,26,69
الأقدمون,26,76
الآخرين,26,84
أجمعون,26,95
المؤمنين,26,102
مؤمنين,26,103
أمين,26,107
وأطيعون,26,108
وأطيعون,26,110
الأرذلون,26,111
المؤمنين,26,114
المؤمنين,26,118
مؤمنين,26,121
أمين,26,125
وأطيعون,26,126
وأطيعون,26,131
الأولين,26,137
مؤمنين,26,139
أمين,26,143
وأطيعون,26,144
آمنين,26,146
وأطيعون,26,150
مؤمنين,26,158
أمين,26,162
وأطيعون,26,163
أجمعين,26,170
الآخرين,26,172
مؤمنين,26,174
أمين,26,178
وأطيعون,26,179
الأولين,26,184
مؤمنين,26,190
الأمين,26,193
الأولين,26,196
إسرائيل,26,197
الأعجمين,26,198
مؤمنين,26,199
الأليم,26,201
الأقربين,26,214
المؤمنين,26,215
أثيم,26,222
للمؤمنين,27,2
الأخسرون,27,5
المؤمنين,27,15
الغائبين,27,20
تأمرين,27,33
أمين,27,39
أجمعين,27,51
الأولين,27,68
للمؤمنين,27,77
يؤمنون,27,86
آمنون,27,89
يؤمنون,28,3
خاطئين,28,8
المؤمنين,28,10
الأمين,28,26
الآمنين,28,31
الأولين,28,36
المؤمنين,28,47
يؤمنون,28,52
يتساءلون,28,66
أليم,29,23
يؤمنون,29,24
للمؤمنين,29,44
يؤمنون,29,51
يؤفكون,29,61
المؤمنون,30,4
يستهزئون,30,10
يؤمنون,30,37
المؤمنين,30,47
يؤفكون,30,55
أليم,31,7
الأمور,31,17
الأمور,31,22
أجمعين,32,13
إسرائيل,32,23
أليما,33,8
مسئولا,33,15
وأصيلا,33,42
أليم,34,5
آمنين,34,18
المؤمنين,34,20
مؤمنين,34,31
آمنون,34,37
مؤمنون,34,41
تؤفكون,35,3
الأمور,35,4
يؤمنون,36,7
يؤمنون,36,10
أليم,36,18
يستهزئون,36,30
يأكلون,36,33
متكئون,36,56
يأكلون,36,72
الأولون,37,17
مسئولون,37,24
يتساءلون,37,27
مؤمنين,37,29
لذائقون,37,31
الأليم,37,38
يتساءلون,37,50
الأولين,37,71
الآخرين,37,78
المؤمنين,37,81
الآخرين,37,82
لإبراهيم,37,83
تأكلون,37,91
الأسفلين,37,98
إبراهيم,37,104
الآخرين,37,108
إبراهيم,37,109
المؤمنين,37,111
الآخرين,37,119
المؤمنين,37,122
الأولين,37,126
الآخرين,37,129
المؤمنين,37,132
أجمعين,37,134
الآخرين,37,136
الأولين,37,168
الأسباب,38,10
الأحزاب,38,11
الأوتاد,38,12
الأحزاب,38,13
أواب,38,17
والإشراق,38,18
أواب,38,19
وأناب,38,24
مآب,38,25
الألباب,38,29
أواب,38,30
والأعناق,38,33
أناب,38,34
أصاب,38,36
الأصفاد,38,38
مآب,38,40
الألباب,38,43
أواب,38,44
والأبصار,38,45
الأخيار,38,47
الأخيار,38,48
مآب,38,49
الأبواب,38,50
أتراب,38,52
مآب,38,55
أزواج,38,58
الأشرار,38,62
الأبصار,38,63
أجمعون,38,73
أجمعين,38,82
أقول,38,84
أجمعين,38,85
الألباب,39,9
الألباب,39,18
الألباب,39,21
يستهزئون,39,48
يؤمنون,39,52
الأحزاب,40,30
الأسباب,40,36
الأشهاد,40,51
الألباب,40,54
والإبكار,40,55
يؤمنون,40,59
تؤفكون,40,62
تأكلون,40,79
يستهزئون,40,83
للسائلين,41,10
طائعين,41,11
الأسفلين,41,29
يسأمون,41,38
أليم,41,43
أنيب,42,10
أليم,42,21
كالأعلام,42,32
أليم,42,42
الأمور,42,43
الأمور,42,53
الأولين,43,6
يستهزئون,43,7
الأولين,43,8
ويسألون,43,19
يتكئون,43,34
تسألون,43,44
أجمعين,43,55
للآخرين,43,56
إسرائيل,43,59
وأطيعون,43,63
أليم,43,65
تأكلون,43,73
يؤفكون,43,87
يؤمنون,43,88
الأولين,44,8
أليم,44,11
مؤمنون,44,12
عائدون,44,15
أمين,44,18
آخرين,44,28
أجمعين,44,40
الأثيم,44,44
أمين,44,51
آمنين,44,55
للمؤمنين,45,3
يؤمنون,45,6
أثيم,45,7
أليم,45,8
أليم,45,11
يستهزئون,45,33
الأولين,46,17
أليم,46,24
يستهزئون,46,26
أليم,46,31
أعمالهم,47,1
أمثالهم,47,3
أعمالهم,47,4
أقدامكم,47,7
أعمالهم,47,8
أعمالهم,47,9
أمثالها,47,10
أهواءهم,47,14
أمعاءهم,47,15
أهواءهم,47,16
أرحامكم,47,22
أبصارهم,47,23
أقفالها,47,24
إسرارهم,47,26
وأدبارهم,47,27
أعمالهم,47,28
أضغانهم,47,29
أعمالكم,47,30
أخباركم,47,31
أعمالهم,47,32
أعمالكم,47,33
أعمالكم,47,35
أموالكم,47,36
أضغانكم,47,37
أمثالكم,47,38
وأصيلا,48,9
أليما,48,16
أليما,48,17
أليما,48,25
أمرا,51,4
أفك,51,9
تأكلون,51,27
المؤمنين,51,35
الأليم,51,37
المؤمنين,51,55
تأثيم,52,23
يتساءلون,52,25
يؤمنون,52,33
الأعلى,53,7
أدنى,53,9
أوحى,53,10
رأى,53,11
أخرى,53,13
المأوى,53,15
الأخرى,53,20
الأنثى,53,21
والأولى,53,25
الأنثى,53,27
شيئا,53,28
وأكدى,53,34
أخرى,53,38
الأوفى,53,41
وأبكى,53,43
وأحيا,53,44
والأنثى,53,45
الأخرى,53,47
وأقنى,53,48
الأولى,53,50
أبقى,53,51
وأطغى,53,52
أهوى,53,53
الأولى,53,56
الآزفة,53,57
أشر,54,25
الأشر,54,26
وأمر,54,46
القرآن,55,2
الإنسان,55,3
للأنام,55,10
الأكمام,55,11
كالأعلام,55,24
والإكرام,55,27
شأن,55,29
والأقدام,55,41
آن,55,44
أفنان,55,48
الإحسان,55,60
والإكرام,55,78
المشأمة,56,9
الأولين,56,13
الآخرين,56,14
تأثيما,56,25
إنشاء,56,35
أبكارا,56,36
أترابا,56,37
الأولين,56,39
الآخرين,56,40
الأولون,56,48
والآخرين,56,49
المنشئون,56,72
الأمور,57,5
مؤمنين,57,8
أليم,58,4
المؤمنون,58,10
الأذلين,58,20
الأبصار,59,2
أليم,59,15
الفائزون,59,20
مؤمنون,60,11
أليم,61,10
المؤمنين,61,13
يؤفكون,63,4
أليم,64,5
المؤمنون,64,13
أمرا,65,1
أجرا,65,5
أخرى,65,6
وأبكارا,66,5
يؤمرون,66,6
أليم,67,28
أثيم,68,12
الأولين,68,15
نائمون,68,19
بالخاطئة,69,9
الخاطئون,69,37
تؤمنون,69,41
الأقاويل,69,44
وأخيه,70,12
تؤويه,70,13
فأوعى,70,18
دائمون,70,23
مأمون,70,28
قائمون,70,33
أليم,71,1
وأطيعون,71,3
إسرارا,71,9
أنهارا,71,12
أطوارا,71,14
إخراجا,71,18
أنصارا,71,25
أحدا,72,2
أحدا,72,7
أحدا,72,18
أحدا,72,20
أبدا,72,23
أمدا,72,25
أحدا,72,26
أليما,73,13
فأنذر,74,2
أزيد,74,15
يؤثر,74,24
أدبر,74,33
أسفر,74,34
يتأخر,74,37
يتساءلون,74,40
الخائضين,74,45
الآخرة,74,53
أمامه,75,5
وأخر,75,13
وقرآنه,75,17
قرآنه,75,18
الآخرة,75,21
فأولى,75,34
فأولى,75,35
والأنثى,75,39
وأسيرا,76,8
وأصيلا,76,25
أليما,76,31
أقتت,77,11
أجلت,77,12
الأولين,77,16
الآخرين,77,17
وأمواتا,77,26
والأولين,77,38
يؤمنون,77,50
يتساءلون,78,1
أوتادا,78,7
أزواجا,78,8
ألفافا,78,16
أفواجا,78,18
أبوابا,78,19
مآبا,78,22
أحقابا,78,23
وأعنابا,78,32
أترابا,78,33
مآبا,78,39
أمرا,79,5
الأعلى,79,24
والأولى,79,25
أرساها,79,32
ولأنعامكم,79,33
المأوى,79,39
المأوى,79,41
الأعمى,80,2
أكفره,80,17
فأقبره,80,21
أنشره,80,22
أمره,80,23
وأبا,80,31
ولأنعامكم,80,32
أخيه,80,34
وأبيه,80,35
سئلت,81,8
أزلفت,81,13
أحضرت,81,14
أمين,81,21
وأخرت,82,5
بغائبين,82,16
أثيم,83,12
الأولين,83,13
يؤمنون,84,20
أليم,84,24
الأخدود,85,4
والترائب,86,7
السرائر,86,9
الأعلى,87,1
أحوى,87,5
الأشقى,87,11
وأبقى,87,17
الأولى,87,18
آنية,88,5
الأكبر,88,24
إيابهم,88,25
الأوتاد,89,10
أكرمن,89,15
أهانن,89,16
أحد,89,25
أحد,89,26
المطمئنة,89,27
أحد,90,5
أحد,90,7
المشأمة,90,19
مؤصدة,90,20
أشقاها,91,12
والأنثى,92,3
والأولى,92,13
الأشقى,92,15
الأتقى,92,17
الأعلى,92,20
الأولى,93,4
فآوى,93,6
فأغنى,93,8
الأمين,95,3
الأكرم,96,3
خاطئة,96,16
أمر,97,4
أثقالها,99,2
أخبارها,99,4
أعمالهم,99,6
أخلده,104,3
الأفئدة,104,7
مؤصدة,104,8
أبابيل,105,3
مأكول,105,5
يراءون,107,6
الأبتر,108,3
أعبد,109,3
أعبد,109,5
أفواجا,110,2
أحد,112,1
أحد,112,4
